ts,cpu_usage_s,cpu_pressure_some_s,runq_wait_s,mem_bytes,cg_usage_usec,cg_press_some_total_us,node_load1
1788847177.032474053,875.900637,1.380715,4.605038375,1.8797568e+09,875933440,1380754,3.32
1788847179.062464298,880.043688,1.385679,4.619179322,1.880571904e+09,880074474,1385712,3.85
1788847181.092649317,884.187024,1.390062,4.630306709,1.881554944e+09,884221654,1390193,3.85
1788847183.126092656,888.332392,1.394113,4.638705442,1.882406912e+09,888363322,1394147,3.85
1788847185.155531440,892.468054,1.397438,4.640803256,1.882669056e+09,892499102,1397489,3.70
1788847187.184823939,896.601528,1.405297,4.666494875,1.883082752e+09,896634344,1405334,3.70
1788847189.214751083,900.748852,1.409854,4.680115352,1.883582464e+09,900781521,1409906,4.21
1788847191.245207544,904.895908,1.414748,4.686445738,1.884389376e+09,904946973,1416902,4.21
1788847193.289567821,909.064275,1.422892,4.713564996,1.88524544e+09,909097346,1422930,4.03
1788847195.320033937,913.206969,1.426838,4.719299504,1.886437376e+09,913238099,1426895,4.03
1788847197.349830169,917.346736,1.431434,4.732103294,1.886724096e+09,917379678,1431481,4.03
1788847199.380140773,921.490109,1.442436,4.768108107,1.887772672e+09,921522181,1442488,4.67
1788847201.410900295,925.59402,1.467243,4.917137297,1.887596544e+09,925630770,1467357,4.67
1788847203.443765230,929.747307,1.471895,4.935498146,1.888374784e+09,929789290,1474508,4.45
1788847205.481763012,933.920905,1.488378,5.007751321,1.890840576e+09,933953902,1488436,4.45
1788847207.513269493,938.052124,1.520907,5.146036141,1.891209216e+09,938089228,1520994,4.45
1788847209.547645694,942.174717,1.55847,5.33733912,1.892245504e+09,942205225,1558539,4.58
1788847211.577237755,946.330625,1.576546,5.421605879,1.893019648e+09,946369661,1576787,4.58
1788847213.611868583,950.488108,1.58131,5.428266057,1.893257216e+09,950522961,1581410,4.45
1788847215.643541955,954.65466,1.585437,5.430689493,1.893982208e+09,954693785,1585490,4.45
1788847217.677039295,958.834898,1.596865,5.476039416,1.89474816e+09,958878759,1598190,4.45
1788847219.719630262,962.999059,1.622008,5.605060515,1.89566976e+09,963067633,1633869,4.66
1788847221.779824184,967.174531,1.658413,5.727565518,1.896493056e+09,967205578,1658450,4.66
1788847223.809382120,971.309762,1.661721,5.731802598,1.897545728e+09,971342634,1661802,4.44
1788847225.839648774,975.446034,1.665722,5.740747646,1.897979904e+09,975479020,1665806,4.44
1788847227.870305764,979.590858,1.672059,5.759138145,1.898262528e+09,979623544,1672244,4.44
1788847229.901209803,983.741881,1.680704,5.785035886,1.89884416e+09,983774655,1680736,4.89
1788847231.932128637,987.900418,1.697768,5.858221176,1.899556864e+09,987937514,1697863,4.89
1788847233.967597323,992.079473,1.712575,5.900309313,1.900609536e+09,992141675,1717040,4.66
1788847236.024333989,996.265459,1.721197,5.92069744,1.901326336e+09,996304616,1721283,4.66
1788847238.061557139,1000.411003,1.73598,5.966571841,1.902313472e+09,1000445602,1736036,4.66
1788847240.092468028,1004.556771,1.742615,5.983461336,1.902698496e+09,1004589773,1742673,5.57
1788847242.123170969,1008.708183,1.747002,5.990973768,1.903071232e+09,1008738999,1747054,5.57
1788847244.153766113,1012.838384,1.752941,6.015903207,1.938845696e+09,1012869180,1752976,5.28
1788847246.182798317,1016.919486,1.781535,6.243451689,1.939202048e+09,1016960236,1782375,5.28
1788847248.218593153,1021.078523,1.786855,6.265900453,1.939648512e+09,1021118694,1788655,5.42
1788847250.253577920,1025.243325,1.800731,6.327754986,1.940578304e+09,1025286770,1800879,5.42
1788847252.294100158,1029.249329,1.930296,6.854608096,1.939931136e+09,1029293987,1934180,5.42
1788847254.338500672,1033.420533,1.95375,6.933264204,1.940717568e+09,1033470773,1957463,5.47
1788847256.384619879,1037.525274,2.017402,7.170289717,1.941315584e+09,1037568909,2021476,5.47
1788847258.430409389,1041.628463,2.09577,7.434991552,1.941286912e+09,1041671660,2102907,5.67
1788847260.474528048,1045.70391,2.177478,7.750675002,1.942065152e+09,1045751416,2181391,5.67
1788847262.517860969,1049.734761,2.274391,8.170786873,1.941721088e+09,1049768722,2275439,5.67
1788847264.550417852,1053.849246,2.328124,8.401684581,1.942126592e+09,1053894234,2334727,5.70
1788847266.596101605,1057.742309,2.585596,9.149549637,1.942585344e+09,1057856690,2605667,5.70
1788847268.683665306,1061.866239,2.755161,9.609211182,1.94301952e+09,1061921411,2759107,5.96
1788847270.741991273,1065.937036,2.907905,10.129421656,1.943543808e+09,1066052630,2927269,5.96
1788847272.836274242,1069.827674,3.209903,11.001950295,1.943748608e+09,1069877131,3216736,5.96
1788847274.886767358,1073.852039,3.331492,11.439162055,1.943932928e+09,1073897869,3337682,6.84
1788847276.930823882,1077.677838,3.527599,12.187857334,1.944629248e+09,1077735776,3538487,6.84
