ts,cpu_usage_s,cpu_pressure_some_s,runq_wait_s,mem_bytes,cg_usage_usec,cg_press_some_total_us,node_load1
1788848024.622517069,2589.264261,17.144642,51.572405796,1.857712128e+09,2589307008,17163212,93.21
1788848026.730485457,2592.592859,17.90158,53.231334824,1.8581504e+09,2592651158,17912703,93.21
1788848028.796512133,2595.94822,18.575593,54.719647721,1.858555904e+09,2596006477,18637116,92.07
1788848030.880537240,2599.161688,19.425716,56.497440519,1.859608576e+09,2599193992,19446519,92.07
1788848032.936116770,2602.723255,20.156366,57.950777291,1.860243456e+09,2602819884,20181486,92.07
1788848035.021230404,2605.919962,20.972784,59.695435475,1.860857856e+09,2606011287,21002750,109.44
1788848037.112606147,2609.436958,21.709571,61.216551112,1.861226496e+09,2609592623,21742191,109.44
1788848039.250474229,2612.869516,22.513637,62.824375455,1.862459392e+09,2612920198,22526693,127.75
1788848041.304052235,2616.312982,23.215527,64.285768916,1.863143424e+09,2616380478,23236214,127.75
1788848043.378577270,2619.436273,23.973233,66.033020241,1.862979584e+09,2619466321,24005633,133.93
1788848045.428499275,2623.005736,24.692182,67.538644621,1.881382912e+09,2623040921,24729293,133.93
1788848047.511704791,2625.868507,25.616203,69.38578488,1.881706496e+09,2625906773,25652422,133.93
1788848049.570916368,2628.771033,26.602961,71.3682015,1.882230784e+09,2629010623,26802894,128.49
1788848051.834530450,2631.834524,27.596231,73.550120365,1.882411008e+09,2631876485,27641353,128.49
1788848053.902491290,2634.637167,28.678728,75.851987059,1.882587136e+09,2634880408,28718806,125.81
1788848056.062515648,2638.552343,29.427665,77.431850377,1.883684864e+09,2638603985,29476773,125.81
1788848058.255519736,2641.698679,30.105946,79.046522391,1.88299264e+09,2642025630,30192998,139.52
1788848060.502546981,2645.462304,30.890571,80.667178953,1.883971584e+09,2645625227,30929919,139.52
1788848062.630292110,2648.179552,31.81585,82.835415865,1.884008448e+09,2648729959,31939068,139.52
1788848065.011209686,2651.564805,32.860663,85.075452618,1.884270592e+09,2651643767,32879540,178.72
1788848067.095524088,2654.65328,33.660768,86.788155391,1.88432384e+09,2654770352,33694667,178.72
1788848069.271170769,2658.004695,34.44866,88.452720851,1.88510208e+09,2658041735,34460704,202.04
1788848071.342549023,2661.244287,34.992527,89.989945083,1.885564928e+09,2661292653,35010416,202.04
1788848073.404679633,2664.379506,35.709269,91.74778193,1.88626944e+09,2664418949,35723346,203.00
1788848075.471501956,2667.595313,36.481288,93.333727229,1.886093312e+09,2667629835,36493942,203.00
1788848077.519571381,2670.88548,37.250752,94.958728705,1.88686336e+09,2670930586,37267280,203.00
1788848079.574494735,2674.157865,37.990911,96.573748065,1.887727616e+09,2674220613,38005032,196.19
1788848081.640095563,2676.972328,38.744083,98.502995711,1.887883264e+09,2677019955,38758038,196.19
